,0,1,2,3,4,5,6,7,8
0,"Number of secondary school, teacher and student by municipality 2011",,,,,,,,
1,,,,,,,,,
2, Municipality,Number of  institute,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Gaibandha Sadar,11,179,77,256,3636,3474,7110,28
4,Gobindaganj,7,60,15,75,1598,1779,3377,45
5,Sundarganj,4,45,7,52,542,730,1272,24
6,Total,22,284,99,383,5776,5983,11759,31
