,0,1,2,3,4,5,6,7,8,9,10,11
0,"2.04 Population and literacy rate of 1981, 1991, 2001  2011 and number of voters 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Population (000) - 1981,Population (000) - 1991,Population (000) - 2001,Population (000) - 2011,Literacy Rate () - 1981,Literacy Rate () - 1991,Literacy Rate () - 2001,Literacy Rate () - 2011,Number of Voters (000) (According to last voter list) - Male,Number of Voters (000) (According to last voter list) - Female,Number of Voters (000) (According to last voter list) - Total
3,Kushtia Sadar,304,369,424,502,19.2,33.7,48.4,53.9,155,160,315
4,Bheramara,112,144,176,200,22.9,28.1,42.5,48.7,58.2,61.9,120.1
5,Daulatpur,290,361,444,456,23.8,27.5,35.59,41.3,138.43,144.63,283.06
6,Khoksa,81,93,114,130,21.0,25.2,39.7,44.7,44.6,44.4,89
7,Kumarkhali,232,269,298,328,17.8,24.9,38.1,45.3,104,105,209
8,Mirpur,199,248,285,330,14.15,21.3,37.1,41.9,103,106,209
9,Total,1218,1484,1741,1946,19.7,25.8,40.4,46.3,603.23,621.93,1225.16
