,0,1,2,3,4,5,6,7
0,Irrigation by means 2010-2011,,,,,,,
1,Kushtia,,,,,,,
2,(in acres),,,,,,,
3,Upazila,Irrigation management - Power pump,Irrigation management - Tube well,Irrigation management - Doon,Irrigation management - Swing basket,Irrigation management - Canal,Irrigation management - Others, Total
4,Kushtia Sadar,99,0,0,400,21950,0,22449
5,Bheramara,100,14050,800,50,0,0,16600
6,Daulatpur,530,0,0,0,0,0,530
7,Khoksa,214,0,186,250,0,0,650
8,Kumarkhali,800,0,0,0,0,10200,11000
9,Mirpur,79,0,0,0,0,0,79
10,Total,1822,14050,986,700,21950,10200,51308
