,0,1,2,3,4
0,Land area basis on utilization 2008,,,,
1,,,,,
2,Upazila,Total area,Permanent cropped area,Temporary cropped area,Others
3,Gangni,79213,2367,66155,10691
4,Mujibnagar,26707,1813,22172,2722
5,Meherpur Sadar,171944,7429,143131,21384
6,Total,277864,11609,231458,34797
