,0,1,2
0,Numbers of money exchange agency 2011,,
1,Upazila,Number of money exchange agency,Number of employee
2,Chakaria,0,0
3,Cox's Bazar Sadar,12,12
4,Kutubdia,0,0
5,Moheshkhali,0,0
6,Pekua,0,0
7,Ramu,0,0
8,Teknaf,0,0
9,Ukhia,0,0
10,Total,12,12
