,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,Rajbari,,,,,,,,,,
2,,,,,,,,,,,
3,Upazila,Sonali bank - Number of  branch,Sonali bank - Account - S.D,Sonali bank - Account - C.D,Sonali bank - Account - F.D,Sonali bank - Account - S.T.D,Janata bank - Number of  branch,Janata bank - Account - S.D,Janata bank - Account - C.D,Janata bank - Account - F.D,Janata bank - Account - S.T.D
4,Baliakandi,2,0,0,96,41,2,8007,741,97,23
5,Goalanda,1,546,34,88,44,0,0,0,0,0
6,Kalukhali,1,0,0,7,4,0,0,0,0,0
7,Pangsha,4,5622,217,1345,57,1,206,152,4,0
8,Rajbari Sadar,3,4000,233,320,28,2,16805,1557,209,59
9,Total,11,10168,484,1856,174,5,25018,2450,310,82
