,0,1,2,3,4
0,Number of fisherman and production of fish in following years,,,,
1,Rajbari,,,,
2,,,,,
3,(Production in metric ton) -  Upazila,(Production in metric ton) - 2010-11 - Number,(Production in metric ton) - 2010-11 - Production,(Production in metric ton) - 2009-10 - Number,(Production in metric ton) - 2009-10 - Production
4,Baliakandi,275,1950,262,1880
5,Goalanda,1218,8,1050,7
6,Kalukhali,132,194,93,183
7,Pangsha,208,306,147,287
8,Rajbari Sadar,4350,1118,4330,1106
9,Total,6183,3576,5882,3463
