,0,1,2,3,4
0,Number of branch of nationalized commercial bank 2011,,,,
1,Naogaon,,,,
2,,,,,
3,Upazila,Number of branch,Number of employee,Number of savings A/C,Number of current A/C
4,Atrai,9,63,44275,3660
5,Badalgachhi,4,31,27973,255
6,Dhamoirhat,5,63,74031,2900
7,Manda,6,66,33166,3136
8,Mahadebpur,6,44,37052,1549
9,Naogaon sadar,10,164,77461,6188
10,Niamatpur,3,32,11458,921
11,Patnitala,5,62,33796,4957
12,Porsha,4,28,12080,1137
13,Raninagar,4,35,10162,537
14,Sapahar,5,37,30081,1918
15,Total,61,625,391535,27158
