,0,1,2,3,4,5
0,Existing position of Government employee by category 2011,,,,,
1,,,,,,
2,Upazila,Class-I,Class-II,Class-III,Class-IV,Number of employee
3,Atrai,17,17,564,88,686
4,Badalgachhi,41,16,560,109,756
5,Dhamoirhat,19,32,561,79,691
6,Manda,19,19,854,102,994
7,Mahadebpur,35,16,322,91,464
8,Naogaon sadar,92,82,737,376,1287
9,Niamatpur,21,30,561,86,697
10,Patnitala,55,8,691,98,852
11,Porsha,20,23,303,93,439
12,Raninagar,30,13,539,83,665
13,Sapahar,18,19,143,96,276
14,Total,367,275,5835,1301,7807
