,0,1,2,3,4
0,Number of agriculture holding by tenure,,,,
1,Chandpur,,,,
2,(According to Agriculture Census 2008),,,,
3,Upazila,Total farm holding,Owner holding,Owner cum tenant,Tenant holding
4,Chandpur Sadar,37244,24114,11984,1146
5,Foridganj,52294,38461,13548,285
6,Haimchar,13902,9510,3479,913
7,Hajiganj,34739,21408,13173,150
8,Kachua,40966,24315,15887,764
9,Matlab Dakshin,24767,14477,10003,287
10,Matlab Uttar,38093,20438,16766,889
11,Shahrasti,28409,16538,11623,248
12,Total,270414,169261,96463,4682
