,0,1,2,3,4
0,Area and production at tobacco in following years,,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3, Upazila,2010-11,2010-11,2009-10,2009-10
4, Upazila,Area,Production,Area,Production
5,Araihazar,3,1,3,1
6,Bandar,0,0,0,0
7,Narayanganj Sadar,0,0,0,0
8,Rupganj,1,1,2,1
9,Sonargaon,0,0,0,0
10,Total,4,1,5,1
