,0,1,2,3
0,Dying facilities of handloom industry 2011,,,
1,,,,
2,Upazila,With dying facility,Without dying facility,Total
3,Harinakunda,66,132,198
4,Jhenaidah Sadar,12,303,315
5,Kaliganj,135,198,333
6,Kotchandpur,0,0,0
7,Mahespur,0,48,52
8,Shailkupa,15,1523,1538
9,Total,228,2204,2436
