,0,1,2,3,4,5,6,7
0,"Area and production ofwheat,jute and sugarcane 2010-11",,,,,,,
1,,,,,,,,
2,(Area in acre and production in metric ton Upazila Upazila,(Area in acre and production in metric ton Wheat Area,(Area in acre and production in metric ton Wheat I,(Area in acre and production in metric ton Wheat Production,(Area in acre and production in metric ton Jute AreaI,(Area in acre and production in metric ton Jute Production,(Area in acre and production in metric ton Sugarcane AreaI,(Area in acre and production in metric ton Sugarcane Production
3,Gazaria	270,275,776,581,12,288,,
4,Lauhajang	90,60,733,402,45,452,,
5,Munshiganj Sadar	64,41,1578,1269,130,2481,,
6,Serajdikhan	19,14,5342,3039,228,729,,
7,Sreenagar	78,53,503,332,31,173,,
8,Tongibari	18,14,1561,980,64,342,,
9,Total	539,457,10493,6603,510,4465,,
