,0,1,2,3
0,Number of deep tube-well scheme 2010-11,,,
1,,,,
2,Upazila,Number of deep tube-wells Commissioned,Number of deep tube-wells Operated,Area irrigated (In acres)
3,Kamalnagar,0,0,0
4,Lakshmipur Sadar,62,32,1553
5,Ramganj,0,0,3
6,Ramgati,0,0,0
7,Roypur,0,0,0
8,Total,62,32,1553
