,0,1,2,3
0,Number of deep tube-well scheme 2010-11,,,
1,Sylhet,,,
2,,,,
3,Upazila/City Corporation,Number of deep tube-wells Commissioned,Number of deep tube-wells Operated,Area irrigated (in acres)
4,Balaganj,0,0,0
5,Beanibazar,8,2,890
6,Bishwanath,0,2,210
7,Companiganj,0,0,0
8,Dakhin Surma,5,15,1740
9,Fenchuganj,0,0,0
10,Golapganj,5,4,1293
11,Gowainghat,0,0,0
12,Jaintiapur,0,0,0
13,Kanaighat,529,0,3427
14,Sylhet City Corporation,0,0,0
15,Sylhet Sadar,0,0,0
16,Zakiganj,0,0,0
17,Total,547,23,7560
