,0,1,2,3
0,Number of co-operative society 2011,,,
1,Sylhet,,,
2,,,,
3,Upazila/City Corporation,Number,Number of employees,Number of client
4,Balaganj,459,4,9979
5,Beanibazar,95,11,4314
6,Bishwanath,223,0,4460
7,Companiganj,16,32,320
8,Dakhin Surma,90,120,2700
9,Fenchuganj,176,15,4371
10,Golapganj,215,112,4455
11,Gowainghat,287,110,12840
12,Jaintiapur,159,22,7062
13,Kanaighat,252,50,5040
14,Sylhet City Corporation,186,32,13731
15,Sylhet Sadar,646,12,16536
16,Zakiganj,122,35,6171
17,Total,2926.00,555.00,91979.00
