,0,1,2,3,4,5
0,Land area based on utilization 2008,,,,,
1,Sylhet,,,,,
2,,,,,,
3,Upazila/City Corporation,Total area,Permanent cropped area,Temporary cropped area,Permanent fallow area,Others
4,Balaganj,92852,1590,67880,8344,15038
5,Beanibazar,62210,6895,39028,2125,14162
6,Bishwanath,52320,1414,23843,1210,25853
7,Companiganj,73330,1730,40880,3000,27720
8,Dakhin Surma,47990,740,34900,33,12020
9,Fenchuganj,28289,8373,16432,3184,300
10,Golapganj,68777,1115,37645,1980,28037
11,Gowainghat,118885,6200,6022,9150,43315
12,Jaintiapur,65758,3768,40035,1107,20848
13,Kanaighat,101868,39876,33204,25943.28,6607
14,Sylhet City Corporation,65455,0,0,0,0
15,Sylhet Sadar,77842,16299,41011,4853.5,15678.5
16,Zakiganj,70999,4091,49625,16293,990
17,Total,70999,4091,49625,16293,990
