,0,1,2,3,4,5
0,Present position of Government employee by category 2011,,,,,
1,Sylhet,,,,,
2,,,,,,
3,Upazila/City Corporation,Class-I,Class-II,Class-III,Class-IV,Number of total employee
4,Balaganj,38,23,268,139,468
5,Beanibazar,28,15,267,89,389
6,Bishwanath,25,15,261,82,383
7,Companiganj,15,13,108,50,186
8,Dakhin Surma,34,16,297,63,410
9,Fenchuganj,29,9,290,45,373
10,Golapganj,49,18,253,88,408
11,Gowainghat,12,14,618,56,700
12,Jaintiapur,27,22,135,69,254
13,Kanaighat,13,12,431,87,543
14,Sylhet City Corporation,628,181,846,1165,2820
15,Sylhet Sadar,11,10,70,20,111
16,Zakiganj,28,8,630,90,756
17,Total,937,356,4474,2043,7801
