,0,1,2,3,4
0,Number of bamboo and cane industry and person engaged 2011,,,,
1,Sylhet,,,,
2,,,,,
3,Upazila/City Corporation,Units,Person engaged Family,Person engaged Hired,Person engaged Total
4,Balaganj,42,62,8,70
5,Beanibazar,35,70,0,70
6,Bishwanath,2448,3135,45,3180
7,Companiganj,60,120,0,120
8,Dakhin Surma,75,125,40,165
9,Fenchuganj,10,40,20,60
10,Golapganj,127,188,48,263
11,Gowainghat,675,1370,112,1482
12,Jaintiapur,190,190,0,190
13,Kanaighat,30,80,40,120
14,Sylhet City Corporation,13,22,112,134
15,Sylhet Sadar,23,25,35,60
16,Zakiganj,120,387,56,443
17,Total,3848,5814,516,6357
