,0,1,2,3,4
0,Number of wooden furniture and person engaged 2011,,,,
1,Sylhet,,,,
2,,,,,
3,Upazila/City Corporation,Units,Person engaged Family,Person engaged Hired,Person engaged Total
4,Balaganj,128,76,192,268
5,Beanibazar,47,94,200,294
6,Bishwanath,140,180,320,500
7,Companiganj,100,200,50,250
8,Dakhin Surma,37,41,115,156
9,Fenchuganj,35,48,100,148
10,Golapganj,69,98,178,276
11,Gowainghat,144,156,420,588
12,Jaintiapur,53,72,140,212
13,Kanaighat,50,100,250,350
14,Sylhet City Corporation,513,717,1450,2167
15,Sylhet Sadar,21,35,60,95
16,Zakiganj,52,70,246,316
17,Total,1389,1887,3721,5620
