,0,1,2,3,4,5
0,Number of employee by type 2011,,,,,
1,"
Upazila","
Police personnel","
Ansar personnel","
VDP personnel",Autonomous body,"Local Government
employee"
2,Atrai,38,356,12608,0,10
3,Badalgachhi,27,2500,8320,62,25
4,Dhamoirhat,28,131,12480,0,80
5,Manda,41,610,119136,94,149
6,Mahadebpur,41,320,9536,140,10
7,Naogaon sadar,349,516,14592,1074,230
8,Niamatpur,30,256,7232,23,120
9,Patnitala,33,416,32146,55,117
10,Porsha,29,256,4800,18,66
11,Raninagar,30,400,1048,22,88
12,Sapahar,27,324,8128,3,6
13,Total,673,6085,230026,1491,901
