,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,"
Upazila","
Current fallow",Temporary cropped area,Temporary cropped area,Temporary cropped area,Temporary cropped area,Temporary cropped area,"
Productivity of crop"
2,"
Upazila","
Current fallow",Single,Double,Triple,Net,Gross,"
Productivity of crop"
3,Atrai,50,29167,22352,6174,57693,92393,160
4,Badalgachhi,93,7261,28542,8061,43864,88528,202
5,Dhamoirhat,177,19544,29832,14251,63627,121961,192
6,Manda,111,30183,21848,22301,74332,140782,189
7,Mahadebpur,81,20032,41631,15404,77067,149506,194
8,Naogaon sadar,48,28996,18280,5818,53094,83010,156
9,Niamatpur,129,24850,53500,6167,84517,150351,178
10,Patnitala,151,23382,32803,16651,72836,138941,191
11,Porsha,155,32961,11543,1808,46312,61471,133
12,Raninagar,42,17325,21621,14172,53118,103083,194
13,Sapahar,50,21211,25999,4323,51533,86178,167
14,Total,1075,254912,307951,115130,677993,1216204,179
