,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3, Upazila,2010-11,2010-11,2009-10,2009-10
4, Upazila,Area,Production,Area,Production
5,Atrai,18,420,16,373
6,Badalgachhi,10,37,11,44
7,Dhamoirhat,0,0,0,0
8,Manda,102,1834,83,1163
9,Mahadebpur,84,565,118,868
10,Naogaon sadar,11,17,11,16
11,Niamatpur,30,70,35,85
12,Patnitala,160,1026,160,1026
13,Porsha,45,376,30,249
14,Raninagar,7,10,5,8
15,Sapahar,1400,17080,1100,13200
16,Total,1867,21435,1569,17032
