,0,1,2,3,4,5
0,"Number of non-registered rickshaw, van, easy bike and auto-rickshaw 2011",,,,,
1,Upazila,Rickshaw,Van,Easy bike and auto-rickshaw,Tempo,Nochimon/korimon/ bhotvoti
2,Atrai,0,650,120,0,625
3,Badalgachhi,3,61,12,5,217
4,Dhamoirhat,0,640,43,0,150
5,Manda,0,0,86,0,10942
6,Mahadebpur,0,203,97,0,372
7,Naogaon sadar,1577,3728,803,66,523
8,Niamatpur,0,385,0,0,283
9,Patnitala,0,520,140,0,1360
10,Porsha,0,475,0,0,465
11,Raninagar,0,300,0,10,320
12,Sapahar,28,542,15,0,415
13,Total,1608,7504,1316,81,15672
