,0,1,2,3,4
0,Number of rice mill and persons engaged 2011,,,,
1,,,,,
2,Upazila,Units,Persons engaged Male,Persons engaged Female,Persons engaged Total
3,Austagram,93,127,0,127
4,Bajitpur,50,350,150,500
5,Bhairab,10,50,60,110
6,Hossainpur,92,92,52,144
7,Itna,18,30,9,39
8,Karimganj,125,205,90,295
9,Katiadi,90,100,80,180
10,Kishoreganj Sadar,48,98,0,98
11,Kuliar-char,12,36,225,161
12,Mithamain,14,42,28,70
13,Nikli,45,315,225,540
14,Pakundia,205,400,10,410
15,Tarail,3,22,8,30
16,Total,805,1867,937,2704
