,0,1,2,3,4
0,Number of Saw mill and person engaged 2011,,,,
1,,,,,
2,Upazila,Unit,Person engaged,Person engaged,Person engaged
3,Upazila,Unit,Family,Hired,Total
4,Adarsha Sadar,187,187,785,972
5,Barura,60,55,170,225
6,Brahmanpara,28,30,60,90
7,Burichang,50,50,150,200
8,Chandina,25,29,76,109
9,Chauddagram,65,115,260,375
10,Comilla Sadar Dakshin,30,60,60,120
11,Daudkandi,52,94,906,1000
12,Debidwar,51,51,160,211
13,Homna,26,49,120,178
14,Laksam,35,25,148,173
15,Monoharganj,61,77,170,247
16,Meghna,7,15,52,67
17,Muradnagar,53,115,250,365
18,Nangalkot,65,65,260,325
19,Titas,11,14,63,77
20,Total,806,1031,3690,4734
