,0,1,2,3,4
0,Number of pottery and person engaged 2011,,,,
1,,,,,
2,Upazila,Unit,Person engaged,Person engaged,Person engaged
3,Upazila,Unit,Family,Hired,Total
4,Adarsha Sadar,15,15,0,15
5,Barura,60,192,0,192
6,Brahmanpara,45,210,10,220
7,Burichang,15,40,40,80
8,Chandina,0,0,0,0
9,Chauddagram,5,17,0,17
10,Comilla Sadar Dakshin,2,12,12,24
11,Daudkandi,0,0,0,0
12,Debidwar,4,18,16,34
13,Homna,0,0,0,0
14,Laksam,1,3,0,3
15,Monoharganj,62,127,45,172
16,Meghna,0,0,0,0
17,Muradnagar,15,60,0,60
18,Nangalkot,20,24,10,34
19,Titas,0,0,0,0
20,Total,244,718,133,851
