,0,1,2,3,4
0,Number of handloom establishment and loom 2011,,,,
1,,,,,
2,Upazila,Number of unit (factory),Number of loom,Number of loom,Number of loom
3,Upazila,Number of unit (factory),Operational,Non-operational,Total
4,Adarsha Sadar,3,1,2,3
5,Barura,0,0,0,0
6,Brahmanpara,0,0,0,0
7,Burichang,0,0,0,0
8,Chandina,0,0,0,0
9,Chauddagram,0,0,0,0
10,Comilla Sadar Dakshin,1,1,0,0
11,Daudkandi,0,0,0,0
12,Debidwar,0,0,0,0
13,Homna,54,70,0,70
14,Laksam,0,0,0,0
15,Monoharganj,0,0,0,0
16,Meghna,0,0,0,0
17,Muradnagar,105,35,70,105
18,Nangalkot,0,0,0,0
19,Titas,0,0,0,0
20,Total,163,107,72,179
