,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,Manikganj,,,,,,,
2,,,,,,,,
3, Upazila,Agricultural personnel,Live- stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained midwife
4,Daulotpur,37,9,0,50,4,60,0
5,Gheor,27,5,27,48,1,67,0
6,Horirampur,51,7,0,41,7,69,8
7,Manikganj Sadar,156,115,32,46,114,400,103
8,Saturia,62,20,0,104,50,27,1
9,Shibalaya,21,35,0,59,45,55,55
10,Singair,10,10,52,28,45,70,22
11,Total,364,201,111,376,266,748,189
