,0,1,2,3,4,5,6,7,8
0,"Number of technical and vocational institution, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila, Institutions,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Chandpur Sadar,1,14,3,17,521,122,643,38
4,Foridganj,1,5,0,5,86,38,124,25
5,Haimchar,2,7,6,13,101,100,201,15
6,Hajiganj,1,4,1,5,56,35,91,18
7,Kachua,1,31,5,36,1006,36,1042,29
8,Matlab Dakshin,0,0,0,0,0,0,0,0
9,Matlab Uttar,1,5,1,6,45,10,55,9
10,Shahrasti,1,2,2,4,69,42,111,28
11,Total,8,68,18,86,1884,383,2267,23
