,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,(Area in acre and production in metric ton),,,,
2, Upazila,Year 2010-11 Area,Year 2010-11 Production,Year 2009-10 Area,Year 2009-10 Production
3,Chandpur Sadar,19,208,17,186
4,Foridganj,28,119,27,114
5,Haimchar,17,35,13,42
6,Hajiganj,21,85,19,76
7,Kachua,83,353,97,403
8,Matlab Dakshin,26,111,26,107
9,Matlab Uttar,30,163,29,144
10,Shahrasti,6,11,6,10
11,Total,230,1085,234,1082
