,0,1,2,3,4,5,6,7
0,"Number of household, population and density 2011",,,,,,,
1,,,,,,,,
2, Upazila, Households,Population Male,Population Female,Population Both Sex,Sex ratio (M/F),Average size of households,Density Per sq. Km.
3,Chandpur Sadar,98109,226959,238960,465919,95,4.69,1509
4,Foridganj,85678,182360,214323,396683,85,4.61,1708
5,Haimchar,24903,53651,55924,109575,96,4.43,817
6,Hajiganj,65697,156944,173533,330477,90,5.01,1740
7,Kachua,76642,180736,201403,382139,90,4.97,1621
8,Matlab Dakshin,45569,97728,112322,210050,87,4.6,1624
9,Matlab Uttar,63784,140753,151304,292053,93,4.6,1122
10,Shahrasti,46139,106700,122418,229118,87,4.96,1480
11,Total,506521,1145831,1270187,2416014,90,4.8,1468
