,0,1,2,3,4,5
0,"Name of land, river port, important or historical, tourist places, objects, important, famous crop or food production 2011",,,,,
1,Jamalpur,,,,,
2,,,,,,
3,  Upazila, Name of land/river port, Name of important or historical/tourist place/object,Name of important /famous crop or food production,Customer care service providers name of cell phone operator,Distance between district head quarter  upazila by road (km)
4,Bakshiganj,0,Lawchapara,Paddy,Grameen phone,50
5,Dewanganj,0,Zil Bangla Sugar Mill,Sugarcane Corn Jute,Grameen phone,47
6,Islampur,0,Kasha Shilpo,0,Grameen phone,34
7,Jamalpur Sadar,0,Hazrat Shah Jalal Majar,Paddy,Grameen phone,0
8,Madarganj,0,-,Paddy,Grameen phone,34
9,Melandaha,0,Durmoth Majar,Paddy,Hasanujjaman Grameen phone,17
10,Sarishabari,0,Jamuna Fertilizer,Paddy,Grameen phone,27
