,0,1,2,3,4
0,Number of fisherman and production of fish in following years,,,,
1,Jamalpur,,,,
2,,,,,
3,(Production in metric ton) - Upazila,(Production in metric ton) - 2010-11 - Number,(Production in metric ton) - 2010-11 - Production,(Production in metric ton) - 2009-10 - Number,(Production in metric ton) - 2009-10 - Production
4,Bakshiganj,650,951,650,789
5,Dewanganj,5356,4340,5356,4245
6,Islampur,2105,1523,1200,1432
7,Jamalpur Sadar,5980,1326,5960,1392
8,Madarganj,4150,3006,4150,2930
9,Melandaha,2600,1303,2250,1061
10,Sarishabari,750,2043,720,1742
11,Total,21591,14492,20286,13591
