,0,1,2,3,4,5,6,7,8
0,Status of rural electrification 2011,,,,,,,,
1,,,,,,,,,
2, Upazila,Number of electrified  Village,Number of electrified Residential holdings,Number of electrified Large scale industry,Number of electrified Small Scale industry,Number of electrified Deep tubewell,Number of electrified Power pump,Number of electrified Commercial holding,Number of electrified  Others
3,Bishwamvarpur,34,3045,0,43,3,9,920,0
4,Chhatak,105,9777,0,216,0,19,1892,0
5,Dakshin Sunamganj,80,4804,25,105,2,7,617,0
6,Derai,24,3709,0,47,0,15,269,0
7,Dharmapasha,17,1875,17,7,0,0,425,0
8,Doarabazar,44,6672,0,48,0,23,132,0
9,Jagannathpur,27,3240,0,0,0,0,0,0
10,Jamalganj,0,260,0,0,0,0,100,0
11,Shalla,9,2521,1,7,0,6,51,0
12,Sunamganj Sadar,49,6379,18,98,4,34,871,0
13,Tahirpur,42,3385,0,53,0,224,1000,0
14,Total,431,45667,61,624,9,337,6277,0
