,0,1,2,3,4,5
0,Number and person engaged in bamboo and cane industry 2011,,,,,
1,Sunamganj,,,,,
2,,,,,,
3,Upazila,Number of unit,Investment (in lac taka),Person engaged Family,Person engaged Hired,Person engaged Total
4,Bishwamvarpur,15,30,40,20,50
5,Chhatak,63,80,157,0,157
6,Dakshin Sunamganj,0,0,0,0,0
7,Derai,0,0,0,0,0
8,Dharmapasha,450,112,750,126,876
9,Doarabazar,0,0,0,0,0
10,Jagannathpur,205,20,410,0,410
11,Jamalganj,8,2,16,0,16
12,Shalla,25,33,55,0,55
13,Sunamganj Sadar,5,1,8,29,37
14,Tahirpur,59,17,125,150,275
15,Total,830,295,1561,505,1876
