,0,1,2,3
0,Number of agricultural holding per agriculture service personnel 2011,,,
1,Sunamganj,,,
2,,,,
3,Upazila,Agricultural holding,Agricultural extension personnel,Other agricultural personnel
4,Bishwamvarpur,24280,29,300
5,Chhatak,27061,29,0
6,Dakshin Sunamganj,14425,23,22
7,Derai,35310,20,0
8,Dharmapasha,17834,20,0
9,Doarabazar,20704,25,415
10,Jagannathpur,18479,20,0
11,Jamalganj,15415,14,50
12,Shalla,19251,62,15
13,Sunamganj Sadar,18679,12,25
14,Tahirpur,17704,18,35
15,Total,211308,190,1601
