,0,1,2,3,4,5
0,Number of establishment and person engaged in cottage industry 2011,,,,,
1,Sunamganj,,,,,
2,,,,,,
3,Upazila,Number of establishment,Investment (in lac taka),Person engaged Family,Person engaged Hired,Person engaged Total
4,Bishwamvarpur,0,0,0,0,0
5,Chhatak,37,15,58,481,539
6,Dakshin Sunamganj,0,0,0,0,0
7,Derai,0,0,0,0,0
8,Dharmapasha,0,0,0,0,0
9,Doarabazar,12,12,8,10,18
10,Jagannathpur,73,68,290,517,807
11,Jamalganj,50,50,100,0,100
12,Shalla,0,0,0,0,0
13,Sunamganj Sadar,17,17,21,85,106
14,Tahirpur,59,17,125,150,275
15,Total,448,179,602,1243,1845
