,0,1,2,3
0,Number of co-operative society 2011,,,
1,Gazipur,,,
2,,,,
3,Upazila,Number,Number of employee,Number of client
4,Gazipur Sadar,1870,1752,264115
5,Kaliakair,265,5,33307
6,Kaliganj,182,720,35582
7,Kapashia,235,3,25944
8,Sreepur,313,1252,20345
9,Total,2865,3732,379293
