,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,Tangail,,,,,,,,,
2,,,,,,,,,,
3,Upazila,Small scale and cottage industry Weaving/ handloom,Small scale and cottage industry Handy,Small scale and cottage industry Husking crafts mill,Small scale and cottage industry Goor processing,Small scale and cottage industry Biri factory,Small scale and cottage industry Salt processing,Small scale and cottage industry Dry fish processing,Small scale and cottage industry Pottery,Small scale and cottage industry Other
4,Basail,0,0,0,0,0,0,0,0,0
5,Bhuapur,184,0,0,0,2,0,0,0,0
6,Delduar,112,0,0,0,0,0,0,0,0
7,Dhanbari,0,0,0,0,0,0,0,0,0
8,Ghatail,0,5,360,0,0,0,0,23,0
9,Gopalpur,16,0,160,0,0,0,0,0,0
10,Kalihati,0,1781,243,0,1,0,0,612,0
11,Madhupur,66,107,60,2,1,0,0,27,20
12,Mirzapur,0,0,35,0,0,0,0,0,12
13,Nagarpur,0,0,0,0,0,0,0,0,0
14,Sakhipur,0,0,0,0,0,0,0,0,0
15,Tangail Sadar,1579,515,32,0,3,0,0,1092,0
16,Total,1957,2408,890,2,7,0,0,1754,32
