,0,1,2,3,4,5
0,"Number of hat-bazar, growth centre, hotel  restaurant 2011",,,,,
1,Tangail,,,,,
2,,,,,,
3,Upazila,Daily bazar,Weekly hat,Growth centre,Restaurant,Hotel (residential)
4,Basail,21,15,4,36,0
5,Bhuapur,22,19,2,102,0
6,Delduar,16,16,5,73,0
7,Dhanbari,24,15,3,130,0
8,Ghatail,13,17,8,36,3
9,Gopalpur,30,13,4,79,0
10,Kalihati,42,30,6,33,9
11,Madhupur,21,9,12,157,12
12,Mirzapur,51,27,4,140,0
13,Nagarpur,43,31,3,77,1
14,Sakhipur,26,44,5,62,2
15,Tangail Sadar,37,23,21,55,20
16,Total,346,259,77,980,47
