,0,1,2,3,4,5,6
0,Daily average wage rate of construction labour 2011,,,,,,
1,(Rate in Taka),,,,,,
2,Upazila,Labour Mason,Labour Helper (Jogaly),Labour Carpenter,Labour Colour Mistree,Labour Electric Mistree,Labour Plumber Mistree
3,Basail,300,200,300,350,400,300
4,Bhuapur,300,180,350,300,450,400
5,Delduar,350,250,350,350,350,350
6,Dhanbari,320,200,350,300,450,400
7,Ghatail,300,200,400,300,300,250
8,Gopalpur,380,250,370,260,400,450
9,Kalihati,300,200,350,300,400,300
10,Madhupur,300,200,400,300,450,400
11,Mirzapur,350,220,350,320,350,300
12,Nagarpur,350,200,300,400,600,400
13,Sakhipur,500,220,400,400,500,400
14,Tangail Sadar,350,250,350,350,300,300
