,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat , bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator service 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Growth centre,Hat /bazar,Poultry farm,Dairy farm,Nursery,Horticulture centre,Brick kiln,Decorator service
3,Kalia,13,35,51,31,5,1,8,26
4,Lohagara,8,26,10,2,2,0,12,136
5,Narail Sadar,5,43,242,75,17,0,9,54
6,Total,26,104,303,108,24,1,29,216
