,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
3, Upazila,Weaving/ handloom,Handy,Husking crafts mill,Goor processing,Biri factory,Salt processing,Dry fish processing,Pottery,Others
4,Jhenaigati,0,0,15,0,0,0,0,31,6
5,Nakla,3,297,585,35,0,0,0,7,42
6,Nalitabari,0,0,0,0,0,0,0,45,0
7,Sherpur Sadar,42,702,150,0,1,0,0,152,0
8,Sreebardi,0,60,560,0,1,0,0,0,0
9,Total,45,1059,1310,35,2,0,0,235,48
