,0,1,2,3,4,5
0,Sanction post of Government employee by category 2011,,,,,
1,,,,,,
2,Upazila,Class-I,Class-II,Class-III,Class-IV,Number of total employee
3,Adamdighi,62,54,577,277,970
4,Bogra sadar,272,165,1605,940,2982
5,Dhunat,27,52,921,86,1086
6,Gabtali,77,34,949,153,1213
7,Dhupchanchia,39,31,302,125,499
8,Kahaloo,61,41,344,152,598
9,Nandigram,38,44,235,129,446
10,Sariakandi,34,47,335,143,557
11,Sherpur,101,55,429,265,844
12,Shibganj,39,35,305,145,524
13,Sonatola,49,19,296,95,459
14,Shajahanpur,71,72,899,170,1212
15,Total,870,649,7197,2680,11390
