,0,1,2,3
0,Number of deep tube-well scheme 2010-11,,,
1,,,,
2, Upazila,Number of deep tube-well - Commissioned,Number of deep tube-well - Operated,Area Irrigated (In acre)
3,Bhaluka,0,325,20933
4,Dhobaura,36,30,3085
5,Fulbaria,671,660,38236
6,Gaffargaon,0,1628,52000
7,Gauripur,47,43,2042
8,Haluaghat,78,156,6789
9,Ishwargonj,301,237,8064
10,Muktagacha,552,530,29052
11,Mymensingh Sadar,281,267,14919
12,Nandail,358,358,17008
13,Phulpur,0,44,739
14,Trishal,0,445,54877
15,Total,2324,4723,247744
