,0,1,2,3,4
0,Number of establishment and person engaged in cottage industry 2011,,,,
1,,,,,
2, Upazila, Number of unit,Person engaged - Family,Person engaged - Hired,Person engaged - Total
3,Bhaluka,-,-,-,-
4,Bhaluka,471,860,250,1110
5,Dhobaura,285,455,130,585
6,Fulbaria,774,774,1378,2153
7,Gaffargaon,388,388,45,433
8,Gauripur,250,250,80,330
9,Haluaghat,995,1465,1250,2715
10,Ishwargonj,1582,855,792,1647
11,Muktagacha,1137,870,749,1619
12,Mymensingh Sadar,4720,9440,4700,14140
13,Nandail,318,293,25,318
14,Phulpur,1569,1000,600,1600
15,Trishal,240,240,30,270
16,Total,12729,16890,10029,26920
