,0,1,2,3,4
0,Number of employee by local Government institution 2011,,,,
1,,,,,
2,Upazila,Municipality,Zila parishad,Upazila parishad,Union parishad
3,Jhenaigati,0,0,5,77
4,Nakla,15,0,4,90
5,Nalitabari,56,0,4,127
6,Sherpur Sadar,69,31,3,154
7,Sreebardi,10,0,5,110
8,Total,150,31,21,558
