,0,1,2,3,4,5,6
0,"Number of municipality, union, mauza, mahalla and village 2011",,,,,,
1,,,,,,,
2, Upazila, Municipality,Ward (PSA), Mahalla, Union, Mauza, Village
3,Bishwamvarpur,-,-,-,5,61,184
4,Chhatak,1,9,23,13,287,539
5,Dakshin Sunamganj,-,-,-,8,102,171
6,Derai,1,9,29,9,137,232
7,Dharmapasha,-,-,-,10,174,324
8,Doarabazar,-,-,-,9,151,308
9,Jagannathpur,1,9,43,8,225,310
10,Jamalganj,-,-,-,5,97,192
11,Shalla,-,-,-,4,65,116
12,Sunamganj Sadar,1,9,44,9,114,268
13,Tahirpur,-,-,-,7,122,243
14,Total,4,36,139,87,1581,2887
