,0,1,2,3
0,Number of agricultural holding per agriculture service personnel 2011,,,
1,,,,
2,Upazila,Agricultural holding,Agricultural extension personnel,Other agricultural personnel
3,Bishwamvarpur,24280,29,300
4,Chhatak,27061,29,0
5,Dakshin Sunamganj,14425,23,22
6,Derai,35310,20,0
7,Dharmapasha,17834,20,0
8,Doarabazar,20704,25,415
9,Jagannathpur,18479,20,0
10,Jamalganj,15415,14,50
11,Shalla,19251,62,15
12,Sunamganj Sadar,18679,12,25
13,Tahirpur,17704,18,35
14,Total,211308,190,1601
