,0,1,2,3,4,5,6,7,8
0,"Number of Government secondary school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of  school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Jhalokati Sadar,2,66,30,96,1740,1740,3480,36
4,Kanthalia,0,0,0,0,0,0,0,0
5,Nalchity,0,0,0,0,0,0,0,0
6,Rajpur,0,0,0,0,0,0,0,0
7,Total,2,66,30,96,1740,1740,3480,36
