,0,1,2,3,4,5,6,7
0,Number of existing family planning personnel 2011,,,,,,,
1,Shariatpur,,,,,,,
2,,,,,,,,
3,Upazila,TFPO,MO,FPI,TFPA,FWV,FWA,Midwife or SBA
4,Bhedarganj,0,1,8,3,9,36,120
5,Damudya,0,0,4,2,5,22,0
6,Gosairhat,1,1,6,2,8,24,1
7,Naria,1,0,13,2,10,44,4
8,Shariatpur Sadar,1,1,8,3,11,32,0
9,Zanjira,1,2,10,3,7,44,0
10,Total,4,5,49,15,50,202,125
