,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,,,,,,,,
2,Upazila,Current fallow,Temporary cropped area Single,Temporary cropped area Double,Temporary cropped area Triple,Temporary cropped area Net,Temporary cropped area Gross,Productivity of crop
3,Kamalnagar,385,1650,17675,6034,25359,63081,2.49
4,Lakshmipur Sadar,417,11732,34910,657,47299,88742,1.88
5,Ramganj,280,6380,8850,1416,16646,22027,1.32
6,Ramgati,568,2789,22584,7432,32805,73541,2.24
7,Roypur,250,860,12343,1608,14811,27273,1.84
8,Total,1900,23411,96362,17147,136920,274664,2.01
