,0,1,2,3,4
0,Number of branch of private commercial bank 2011,,,,
1,,,,,
2,Upazila,Number of branch,Number of employee,Number of savings A/C,Number of current A/C
3,Kamalnagar,0,0,0,0
4,Lakshmipur Sadar,11,156,62152,4643
5,Ramganj,7,94,24291,2528
6,Ramgati,0,0,0,0
7,Roypur,10,101,6362,1410
8,Total,28,351,92805,8581
