,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
3,Chakaria,40,40,10000,0,0,0,20,10,0
4,Cox's Bazar Sadar,0,0,430,0,0,38,10000,40,0
5,Kutubdia,0,0,0,0,0,0,0,0,0
6,Moheshkhali,150,50,50,0,0,3,100,50,50
7,Pekua,0,0,0,0,0,0,0,0,0
8,Ramu,14,0,420,0,0,0,0,20,0
9,Teknaf,62,136,60,0,0,0,12,6,0
10,Ukhia,0,5,190,0,0,0,0,0,0
11,Total,266,231,11150,0,0,41,10132,126,50
