,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
3, Upazila,Weaving/ handloom,Handy,Husking crafts mill,Goor processing,Biri factory,Salt processing,Dry fish processing,Pottery,Others
4,Araihazar,4205,22,65,0,0,0,0,0,0
5,Bandar,0,0,20,0,0,1,0,0,0
6,Narayanganj Sadar,148,415,53,0,0,53,0,0,371
7,Rupganj,117,0,61,0,2,3,0,1,3
8,Sonargaon,1980,744,560,0,0,0,0,0,160
9,Total,6450,1181,759,0,2,57,0,1,534
