,0,1,2,3
0,Dying facilities of handloom industry 2011,,,
1,Upazila,With dying facility,Without dying facility,Total
2,Araihazar,345,3860,4205
3,Bandar,0,0,0
4,Narayanganj Sadar,0,0,0
5,Rupganj,21,77,98
6,Sonargaon,6,0,6
7,Total,372,3937,4309
