,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Rupali and Agrani bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Rupali bank,Rupali bank,Rupali bank,Rupali bank,Rupali bank,Agrani bank,Agrani bank,Agrani bank,Agrani bank,Agrani bank
3, Upazila,Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
4, Upazila,Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
5,Araihazar,0,0,0,0,0,1,6451,417,22,10
6,Bandar,0,0,0,0,0,0,0,0,0,0
7,Narayanganj Sadar,6,18965,1507,468,57,8,44416,5092,737,201
8,Rupganj,0,0,0,0,0,1,11394,470,282,7
9,Sonargaon,0,0,0,0,0,1,5783,310,76,6
10,Total,6,18965,1507,468,57,11,68044,6289,1117,224
