,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Krishi bank,Krishi bank,Krishi bank,Krishi bank,Krishi bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank
3, Upazila,Number of  branch,Account,Account,Account,Account,Number of  branch,Account,Account,Account,Account
4, Upazila,Number of  branch,S.D,C.D,F.D,S.T.D,Number of  branch,S.D,C.D,F.D,S.T.D
5,Alikadam,1,2284,69,36,9,0,0,0,0,0
6,Bandarban Sadar,2,4293,66,79,22,2,95,210,18,0
7,Lama,2,6234,195,132,0,0,0,0,0,0
8,Naikhongchhari,2,4046,491,28,7,0,0,0,0,0
9,Rowangchhari,1,1216,33,30,7,0,0,0,0,0
10,Ruma,1,1270,26,11,6,0,0,0,0,0
11,Thanchi,1,1086,20,57,5,0,0,0,0,0
12,Total,10,20429,900,373,56,2,95,210,18,0
