,0,1,2,3,4,5
0,Cropped area sprayed with plant protection measures 2008,,,,,
1,,,,,,
2, Upazila,Total farm holding,Total farm holding,Spraying farm holding,Spraying farm holding,Reporting area sprayed
3, Upazila,Number,Cropped area,Number,Cropped area,Reporting area sprayed
4,Alikadam,5993,14932,5780,13920,10580
5,Bandarban Sadar,7829,13998,7829,13998,13998
6,Lama,12004,37687,12004,37687,37687
7,Naikhongchhari,7456,17981,7456,8220,8220
8,Rowangchhari,4312,14390,4312,14390,14390
9,Ruma,5162,18553,5162,9220,9220
10,Thanchi,2987,4147,50,200,200
11,Total,45743,118351,42593,97635,94295
