,0,1,2,3,4
0,Area and production at tobacco in following years,,,,
1,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
2,Upazila,2010-11,2010-11,2009-10,2009-10
3,Upazila,Area,Production,Area,Production
4,Alikadam,2000,2290,1300,1201
5,Bandarban Sadar,276,76,335,94
6,Lama,5922,7019,5915,6466
7,Naikhongchhari,1280,1042,1195,881
8,Rowangchhari,95,82,78,67
9,Ruma,650,234,555,194
10,Thanchi,235,365,228,248
11,Total,10458,11109,9606,9152
