,0,1,2,3,4,5,6
0,"Number of branch of specialized bank (Krishi, co-operative etc ) 2011",,,,,,
1,Meherpur,,,,,,
2,(Figures in lac Tk.),,,,,,
3,Upazila,Number of All branch,Number of Employee,Number of savings A/C,Number of current A/C,Average annual deposit Tk.,Annual credit disbursed Tk.
4,Gangni,2,20,23194,271,1925,2051
5,Mujibnagar,2,18,16761,526,250,1082
6,Meherpur Sadar,4,34,3749,343,55,4300
7,Total,8,72,43704,1140,22302,7433
