,0,1,2,3,4
0,"Area of high, medium and low land 2008",,,,
1,(area in acre),,,,
2,Upazila,High land,Medium land,Low land,Total land
3,Bishwamvarpur,42793,6014,12633,61440
4,Chhatak,10883,27210,16536,54629
5,Dakshin Sunamganj,5805,71875,10573,88253
6,Derai,5412,14735,13432,33589
7,Dharmapasha,4570,18278,68546,91384
8,Doarabazar,3960,12885,5895,22740
9,Jagannathpur,32900,15290,42773,90963
10,Jamalganj,10510,10250,53570,74330
11,Shalla,8142,16053,10547,34742
12,Sunamganj Sadar,9336,36330,20167,65833
13,Tahirpur,691,11996,37096,49783
14,Total,135002,240916,291768,667686
