,0,1,2,3
0,Number of ward and mahalla by municipality 2011,,,
1,,,,
2, Upazila,Name of municipality, Total ward, Total mahalla
3,Chhatak,Chhatak,9,23
4,Derai,Derai,9,29
5,Jagannathpur,Jagannathpur,9,43
6,Sunamganj Sadar,Sunamganj,9,44
7,Total,,36,137
